theta,error
51.38148339816395,1.7740217455688412
51.38148339816395,1.7740217455688412
52.304377566811155,1.8021525933181222
52.941274839636066,1.832104617132642
48.66753515456562,1.808966556642075
52.62015393367679,1.8159363138868878
54.29857503986582,1.9246761850030674
48.66753515456562,1.808966556642075
53.60316839742264,1.8723093487306983
51.0796755282296,1.7688625882996338
49.583437543389934,1.7754886865791322
51.0796755282296,1.7688625882996338
42.02759484375547,2.6474579567403183
52.62015393367679,1.8159363138868878
50.77966134158877,1.765795513016609
53.60316839742264,1.8723093487306983
49.88342252502825,1.7696014962698081
51.38148339816395,1.7740217455688412
49.583437543389934,1.7754886865791322
47.36595017807515,1.8993131804675258
51.993153957790234,1.7906265394648249
50.182263042327975,1.7660932453423999
53.60316839742264,1.8723093487306983
50.480759896089914,1.764852823626645
49.281441826293765,1.783893663903705
48.35341600757557,1.826078123431002
52.304377566811155,1.8021525933181222
51.0796755282296,1.7688625882996338
54.66223136947694,1.95626286151971
48.66753515456562,1.808966556642075
50.182263042327975,1.7660932453423999
52.941274839636066,1.832104617132642
49.88342252502825,1.7696014962698081
52.941274839636066,1.832104617132642
50.480759896089914,1.764852823626645
49.88342252502825,1.7696014962698081
45.86859954953467,2.0649349419731298
50.182263042327975,1.7660932453423999
51.38148339816395,1.7740217455688412
50.77966134158877,1.765795513016609
50.182263042327975,1.7660932453423999
52.941274839636066,1.832104617132642
48.032818333312285,1.846605416749372
48.97648904520102,1.7949854078316632
43.373160194050506,2.438706748099071
50.182263042327975,1.7660932453423999
47.704241873957194,1.870885101665434
48.97648904520102,1.7949854078316632
47.01590728341985,1.9323533643168955
53.94605532178149,1.8968200783861844
48.35341600757557,1.826078123431002
52.304377566811155,1.8021525933181222
47.36595017807515,1.8993131804675258
51.993153957790234,1.7906265394648249
53.2686171183143,1.8508249161965917
54.29857503986582,1.9246761850030674
48.66753515456562,1.808966556642075
47.704241873957194,1.870885101665434
50.77966134158877,1.765795513016609
48.032818333312285,1.846605416749372
50.480759896089914,1.764852823626645
48.35341600757557,1.826078123431002
49.583437543389934,1.7754886865791322
50.182263042327975,1.7660932453423999
48.35341600757557,1.826078123431002
51.0796755282296,1.7688625882996338
50.182263042327975,1.7660932453423999
48.97648904520102,1.7949854078316632
52.304377566811155,1.8021525933181222
52.304377566811155,1.8021525933181222
50.182263042327975,1.7660932453423999
50.182263042327975,1.7660932453423999
49.583437543389934,1.7754886865791322
